Order ID,Order Date,Ship Date,Fulfilment,Customer Segment,Country,Region,State,City,Category,Sub-Category,Payment Mode,Order Status,Quantity,Discount,Sales (INR),Profit (INR),GST (INR)
IND-2020-0006423,2020-01-01,2020-01-08,Amazon,Enterprise,India,North,Delhi,New Delhi,Sports & Outdoors,Trekking Gear,Credit Card,Delivered,3,0.3,2758.05,60.59,137.9
IND-2020-0010996,2020-01-01,2020-01-04,Amazon,Student,India,North,Rajasthan,Kota,Clothing & Apparel,Sportswear,Debit Card,Delivered,3,0.0,2837.0,672.97,141.85
IND-2020-0008507,2020-01-01,2020-01-08,Merchant,Small Business,India,South,Karnataka,Mysuru,Home & Kitchen,Bedsheets & Pillows,Credit Card,Delivered,5,0.15,17496.1,1169.2,2099.53
IND-2020-0004198,2020-01-01,2020-01-02,Meesho,Individual,India,North,Rajasthan,Kota,FMCG & Grocery,Pet Supplies,Cash on Delivery,Delivered,5,0.3,450.07,21.63,22.5
IND-2020-0002903,2020-01-01,2020-01-05,Amazon,Enterprise,India,East,West Bengal,Howrah,FMCG & Grocery,Packaged Foods,Debit Card,Shipped,5,0.15,1016.41,130.08,50.82
IND-2020-0006137,2020-01-01,2020-01-02,Amazon,Individual,India,South,Tamil Nadu,Madurai,Electronics,Smart Watches,Cash on Delivery,Delivered,5,0.1,78856.46,2234.75,14194.16
IND-2020-0001546,2020-01-01,2020-01-02,Amazon,Small Business,India,West,Maharashtra,Mumbai,Electronics,Cameras,UPI,Delivered,3,0.3,37084.54,-871.06,6675.22
IND-2020-0001176,2020-01-01,2020-01-04,Meesho,Small Business,India,West,Maharashtra,Nashik,Electronics,Smart TVs,Cash on Delivery,Delivered,4,0.05,49135.52,2651.0,8844.39
IND-2020-0001048,2020-01-01,2020-01-07,Merchant,Individual,India,West,Goa,Vasco da Gama,Home & Kitchen,Storage & Organisation,UPI,Delivered,5,0.0,2583.99,358.99,310.08
IND-2020-0009255,2020-01-02,2020-01-07,Amazon,Individual,India,North,Delhi,New Delhi,FMCG & Grocery,Beverages,Debit Card,Delivered,1,0.0,176.91,29.02,8.85
IND-2020-0005662,2020-01-02,2020-01-05,Amazon,Individual,India,South,Karnataka,Mangaluru,Books & Stationery,Art & Craft Supplies,Cash on Delivery,Delivered,5,0.0,2979.49,538.81,148.97
IND-2020-0002508,2020-01-02,2020-01-03,Amazon,Small Business,India,West,Maharashtra,Nashik,Clothing & Apparel,Men's T-Shirts,Credit Card,Delivered,5,0.1,2203.77,439.56,110.19
IND-2020-0010463,2020-01-03,2020-01-04,Meesho,Enterprise,India,South,Karnataka,Mangaluru,Books & Stationery,Fiction & Literature,Debit Card,Cancelled,2,0.15,0.0,0.0,0.0
IND-2020-0008296,2020-01-03,2020-01-10,Flipkart,Individual,India,West,Gujarat,Vadodara,Clothing & Apparel,Kids Clothing,Credit Card,Returned,1,0.0,0.0,0.0,0.0
IND-2020-0006769,2020-01-03,2020-01-10,Flipkart,Enterprise,India,North,Punjab,Chandigarh,Home & Kitchen,Home Decor,Credit Card,Delivered,1,0.1,33.82,3.6,4.06
IND-2020-0010000,2020-01-03,2020-01-10,Amazon,Enterprise,India,North,Uttar Pradesh,Lucknow,Books & Stationery,Notebooks & Diaries,Cash on Delivery,Delivered,5,0.1,963.97,149.23,48.2
IND-2020-0010114,2020-01-03,2020-01-06,Merchant,Small Business,India,West,Gujarat,Surat,Home & Kitchen,Cookware,Credit Card,Delivered,1,0.4,1805.2,-10.26,216.62
IND-2020-0003873,2020-01-03,2020-01-07,Meesho,Individual,India,West,Maharashtra,Nashik,FMCG & Grocery,Health Supplements,Net Banking,Cancelled,5,0.1,0.0,0.0,0.0
IND-2020-0008122,2020-01-06,2020-01-13,Amazon,Individual,India,South,Karnataka,Mysuru,Electronics,Cameras,Credit Card,Delivered,2,0.5,8019.93,-835.69,1443.59
IND-2020-0005454,2020-01-06,2020-01-08,Amazon,Individual,India,North,Punjab,Chandigarh,FMCG & Grocery,Baby Products,Credit Card,Delivered,1,0.0,143.34,25.73,7.17
IND-2020-0006973,2020-01-06,2020-01-08,Amazon,Individual,India,West,Goa,Panaji,Books & Stationery,Art & Craft Supplies,UPI,Delivered,4,0.15,1695.7,237.15,84.79
IND-2020-0007686,2020-01-06,2020-01-10,Amazon,Individual,India,West,Gujarat,Bhavnagar,Electronics,Smartphones,Credit Card,Delivered,2,0.0,41970.41,3024.83,7554.67
IND-2020-0007456,2020-01-06,2020-01-08,Meesho,Individual,India,South,Telangana,Karimnagar,Home & Kitchen,Furniture,Cash on Delivery,Delivered,3,0.2,4616.81,284.53,554.02
IND-2020-0004704,2020-01-06,2020-01-08,Merchant,Enterprise,India,South,Telangana,Hyderabad,Clothing & Apparel,Kurta & Kurti,Net Banking,Delivered,4,0.15,1454.57,230.36,72.73
IND-2020-0010481,2020-01-06,2020-01-07,Amazon,Enterprise,India,North,Punjab,Amritsar,Home & Kitchen,Kitchen Appliances,UPI,Delivered,1,0.1,975.62,115.81,117.07
IND-2020-0001282,2020-01-06,2020-01-09,Flipkart,Enterprise,India,East,Bihar,Patna,Home & Kitchen,Cleaning Supplies,UPI,Delivered,4,0.0,543.44,86.5,65.21
IND-2020-0003592,2020-01-06,2020-01-09,Merchant,Small Business,India,South,Tamil Nadu,Coimbatore,Electronics,Laptops,Debit Card,Delivered,4,0.0,33467.59,2099.95,6024.17
IND-2020-0007504,2020-01-06,2020-01-08,Amazon,Enterprise,India,North,Uttar Pradesh,Kanpur,Clothing & Apparel,Innerwear & Socks,UPI,Delivered,2,0.1,2865.6,476.89,143.28
IND-2020-0002286,2020-01-06,2020-01-09,Merchant,Small Business,India,North,Delhi,Rohini,Electronics,Laptops,Cash on Delivery,Delivered,3,0.1,38291.4,1373.67,6892.45
IND-2020-0004371,2020-01-06,2020-01-13,Flipkart,Small Business,India,South,Karnataka,Mysuru,Home & Kitchen,Furniture,UPI,Delivered,2,0.0,9085.07,1201.15,1090.21
IND-2020-0004349,2020-01-06,2020-01-07,Flipkart,Small Business,India,South,Karnataka,Mysuru,Books & Stationery,Notebooks & Diaries,Debit Card,Delivered,5,0.15,1057.12,132.24,52.86
IND-2020-0004147,2020-01-07,2020-01-12,Flipkart,Student,India,West,Gujarat,Rajkot,FMCG & Grocery,Baby Products,Net Banking,Delivered,3,0.0,508.03,86.01,25.4
IND-2020-0009584,2020-01-07,2020-01-12,Amazon,Individual,India,West,Maharashtra,Mumbai,Electronics,Cameras,UPI,Delivered,4,0.0,44599.63,3743.94,8027.93
IND-2020-0003676,2020-01-07,2020-01-10,Meesho,Small Business,India,East,West Bengal,Howrah,Sports & Outdoors,Cycling Accessories,Net Banking,Delivered,2,0.0,624.31,99.85,31.22
IND-2020-0002529,2020-01-07,2020-01-08,Amazon,Individual,India,West,Maharashtra,Aurangabad,Electronics,Smart TVs,Debit Card,Delivered,1,0.4,1005.21,-75.58,180.94
